id,user_id,tracking_channel_id,habit_name,time_location,identity
1,261152275945226240,1282069079099707402,"wake up","at 9.30","a more hardworking person"
2,1282012870598590527,1282069079099707402,"learn 1 word every day","in the morning","a more consistent person (first habitt)"
3,713610478735065139,1282069079099707402,"read for 2 min","after writing","a person who keeps a diary"
4,713610478735065139,1282069079099707402,"writing for 2 min","before sleep",reader
5,713610478735065139,1282069079099707402,"meditate for 1 minutes","after reading",thankful
6,1203430163212406837,1282069079099707402,programing,"when I go library",knowledgeable
7,1143245074684182668,1282069079099707402,"I will read a book",everyday,reading
8,401791738798276608,1282069079099707402,"play violin","before reading the book","a better musician"
9,401791738798276608,1282077218893332491,read,"before sleep",reader
10,972906759704432680,1282077218893332491,"meditate for 3 minutes","anytime in a day","an authentic person who is integrated with his emotions"
11,595628679166427168,1282077218893332491,"read book for 1 min","before i sleep","become a reader"
15,464791984440344577,1282077218893332491,"read for 1.30 minutes","before sleep","a more expressive person"
16,1227615850614226967,1282077218893332491,"Exercising for 15 minutes",Everyday,Healthier
17,1227615850614226967,1282077218893332491,"Gratitude Journal",Everyday,"self-aware person"
18,755853609643540501,1282077218893332491,"5 sayfa min. kipat okuyacam",istanbul,knowledgable
19,1283101955320840377,1282077218893332491,"complete 1 duolingo lesson","before sleep","fluent in English"
